text,label
three-body antikaonnucleon systems,14
quantum cryptography over nonmarkovian channels,15
nonlocal homogenization of pt-symmetric multilayered structures,12
parity-affected superconductivity in ultrasmall metallic grains,4
nonequilibrium interfaces in colloidal fluids,7
characterization of seven ultrawide transneptunian binaries,11
post$planck$ constraints on interacting vacuum energy,1
cosmology with superluminous supernovae,1
multifluid magnetohydrodynamic turbulent decay,9
predictions for observing protostellar outflows with alma,18
supervision of the atlas high level trigger system,5
superconducting properties of the noncentrosymmetric superconductor re6hf,2
a non standard supersymmetric spectrum,3
peculiar type ii supernovae from blue supergiants,1
nonconventional superconductors and percolation,2
hyperbolic transverse patterns in nonlinear optical resonators,12
superfluidinsulator transition of interacting multicomponent bosons,4
near-horizon supergravity superspace,10
noncommutative nonlinear supersymmetry,10
doping and tilting on optics in noncentrosymmetric multiweyl semimetals,0
interfaceinduced polarization in srtio$_3$-lacro$_3$ superlattices,19
noncollinear spin valve effect in ferromagnetic semiconductor trilayers,19
nonfickian single-file pore transport,17
momentum injection by supernovae in the interstellar medium,9
interlayer transport in highly anisotropic misfitlayer superconductor (lase)1.14(nbse2),2
a framework for analyzing hyperviscoelastic polymers,7
persistent currents in multichannel interacting systems,4
nonsingular multidimensional cosmologies with lobachevsky spatial sections,6
multipartite states under local unitary transformations,15
interpreting the transmission windows of distant quasars,1
multielectron interference of intraband harmonics in solids,12
spectroscopic orbits of subsystems in multiple stars. v,18
semiclassical eigenstates of four-sublattice antiferromagnets,4
detection of antineutrinos for nonproliferation,14
energy nonequipartition in multicomponent granular mixtures,17
self-excited multifractal dynamics,17
polymer crystal-melt interfaces and nucleation in polyethylene,7
the triton:lowmomentum interactions and off-shell effects,14
supersymmetric higgs triplets and bilinear r-parity nonconservation,3
quantum superconductormetal transition,2
terahertz nonlinear superconducting metamaterials,12
assessment and outlook,5
the energy sources of superluminous supernovae,13
anomalous transient current in nonuniform semiconductors,4
on cmb b-mode nongaussianity,1
aeolian transport layer,7
the supernova -- supernova remnant connection,13
proton interactions with high multiplicity,5
semiflexible polymers under good solvent conditions interacting with repulsive walls,7
collective modes in multiweyl semimetals,8
nonlinear transverse magnetic moment in anisotropic superconductors,4
hyperleda. iii. the catalogue of extragalactic distances,9
antiproton induced reactions,14
scattering at interluminal interface,12
magnon decay in noncollinear quantum antiferromagnets,0
microstructural-defect-induced dzyaloshinskii-moriya interaction,19
interactions for odd-omega gap singlet superconductors,4
multigrid meets neural nets,16
jamming of semiflexible polymers,7
metal-mott insulator interfaces,0
n=0 supersymmetry and the nonrelativistic monopole,10
direct ultrashort pulse generation by intracavity nonlinear compression,12
superfluids in polymer quantum mechanics,6
quantum superfield supersymmetry,10
the chiral transition as an anderson transition,16
extracting short-ranged interactions from structure factors,7
breeding superearths and birthing superpuffs in transitional disks,11
half-metallic superconducting triplet spin multivalves,2
correlated electron transport,4
"counterion condensation in strong, flexible polyelectrolytes",7
superconformal hypermultiplets in superspace,10
"the superhot, superdense, supersymmetric universe",3
noncommutative supersymmetric theories,10
nonclassical fields and the nonlinear interferometer,15
ultraviolet light curves of gaia16apd in superluminous supernova models,13
nonlinear directional coupler for polychromatic light,12
superconductor/insulator transition in the striped phase,4
ultrafast photomechanical transduction through thermophoretic implosion,7
antide sitter supersymmetry,10
automating dipole subtraction,3
are magnetic monopoles hadrons?,16
multipole modes of excitation in triaxially deformed superfluid nuclei,14
distillation with sublogarithmic overhead,15
supernovae and gaia,18
evolution of multiple supernova remnants,9
interacting superparamagnetism in la0.7sr0.3mno3 nanoparticles,19
supersonic cloud collision-ii,18
hartle-hawking state in supersymmetric minisuperspace,6
improved interpolating fields for hadrons at nonzero momentum,16
multiple outbursts of asteroid (6478) gault,11
multianode photo multipliers for ring imaging cherenkov detectors,5
nonlinear electric metamaterials,12
supersymmetry breaking through transparent extra dimensions,3
nonlocal nonlinear sigma models,10
kagome lattice antiferromagnets and dzyaloshinsky-moriya interactions,0
polymorphisminduced changes of interlayer electronic coupling at organic/inorganic interfaces,19
cosmic transparency and acceleration,1
on multigraviton and multigravitino gauge theories,6
anomalous hall transport in tilted multiweyl semimetals,8
condensation transitions in nonequilibrium systems,17
interacting multiparticle classical szilard engine,17
the corona contracts in a black-hole transient,13
transversemomentumordered showers and interleaved multiple interactions,3
initial performance of the neowise reactivation mission,11
layered semiconvection and tides in giant planet interiors,11
star streams in triaxial isochrone potentials with subhalos,9
superluminal neutrinos and monopoles,3
less minimal supersymmetric standard model,3
free-energy transduction within autonomous systems,17
nonadditive enhancement of nonequilibrium atom-surface interactions,15
spin transport in magnetic multilayers,17
modeling neutrino-nucleus interaction at intermediate energies,14
interstellar fullerene compounds and diffuse interstellar bands,9
nonuniversal exponents in interface growth,17
superfluid transition in quasi2d fermi gases,17
